pid,feature,category
17-02-20201117-002,"[0.026947865,-0.049091242,-0.050350673,-0.10019228,0.11226,-0.000957978,0.015974969,-0.02628564,-0.112039074,-0.006553818,0.004275618,0.009921772,0.118231304,0.15509324,0.065313265,0.12181783,0.09527524,-0.044144236,0.017897347,0.085567184,-0.001012183,0.00768774,0.0876478,-0.02547697,0.034627132,-0.03946561,-0.009541722,-0.05536769,0.041559733,-0.12681419,-0.09730291,0.079926476,-0.009615583,0.12532304,-0.039642368,0.01666087,-0.16048686,-0.0845069,0.14830332,-0.000738974,0.10236229,0.035113227,0.003292706,-0.045545164,-0.043260206,0.015222136,-0.013018802,0.026765287,-0.0358075,-0.0097758,0.029364208,-0.078534074,-0.10333272,0.002791619,0.032367636,0.061085615,0.034277905,-0.021061523,0.110480726,-0.16187556,0.028958766,0.061372284,-0.123533115,0.015743142,-0.03603277,0.011733304,0.057714365,-0.09246976,0.019693997,0.0552926,-0.08415685,-0.15112814,0.043120988,0.018117085,7.09E-05,0.019174613,-0.0610386,-0.037658073,0.035769068,-0.007933523,-0.052178096,0.07454899,0.053539872,0.03539007,-0.11691464,-0.06006173,0.06989488,0.034795396,-0.057201102,-0.047500573,-0.04862266,-0.13894035,-0.09222324,-0.11842055,0.039949887,0.04613974,0.09393962,-0.054979466,-0.05638063,0.10272932,0.12680809,-0.000451413,-0.03945452,-0.040934797,-0.07472809,-0.06257589,0.007500292,0.056524545,-0.028456608,0.041525055,0.02257095,-0.1142433,-0.05584372,0.019638635,0.1009325,0.1922555,0.018619463,-0.032902416,-0.036626138,-0.014594436,0.041973665,-0.1023514,-0.026616834,0.040025946,-0.007887321,0.103954755,-0.021837702,-0.022063946,0.918974596]",1
17-02-20201117-003,"[0.038842328,0.0916702,0.12432061,-0.22379006,0.038549118,-0.006427969,-0.043845706,-0.16928294,-0.12139957,-0.118666396,-0.25891533,-0.060089987,0.16116239,0.36977783,0.08945377,0.013542164,0.4712593,0.0875137,-0.06283809,0.031366844,-0.23155311,0.09944745,0.1233356,-0.13448048,0.3064441,0.07578855,0.19905189,-0.024481643,-0.18193924,-0.4377169,-0.18053947,0.06059444,0.19416605,0.37067324,0.045265116,-0.3600597,-0.3300019,-0.6076235,0.60902625,0.038612977,-0.149014,-0.022157244,-0.3684748,0.054400645,0.153944,-0.11320075,-0.29503885,0.07898748,0.018614404,-0.20896095,-0.011339495,-0.1682702,-0.69888806,-0.07302847,0.009656998,0.07868585,0.010760539,-0.0733978,0.021287363,-0.54362756,-0.035009384,0.2570604,0.10806247,0.033786252,-0.38531962,0.08380664,0.005965048,0.11059886,0.04562536,0.07037796,-0.35288045,-0.20511696,0.08546171,-0.08202624,0.14109059,0.25991336,-0.1332435,-0.22875486,0.011904343,0.17183404,-0.08878668,0.34123385,0.15035778,-0.061804313,0.084316865,-0.092252016,0.027200188,0.015667628,0.080958836,0.25822186,0.08259718,-0.13721602,-0.4260821,-0.44858232,-0.041606188,0.12374357,0.5509013,-0.15741973,-0.018433686,0.19639102,-0.052398287,0.004253906,0.13700241,-0.12816821,0.028132712,-0.20950799,-0.09886086,0.24435928,-0.36148137,0.21936037,-0.011559175,-0.23934892,0.022207754,0.12385292,0.4344882,0.52451545,-0.08755501,-0.21810648,0.19204414,0.014743822,0.008516571,-0.39249805,0.114074014,0.2893547,0.121232174,0.1799768,-0.2077646,0.15091889,-0.969116201]",0
17-02-20201117-004,"[0.15799384,0.000453291,0.4849153,-0.46377558,-0.28779915,-0.046398677,-0.02070728,-0.09797231,-0.23054515,-0.4100164,-0.42588678,0.19889723,0.3097495,0.52536464,0.17293195,-0.05294394,0.9081123,0.3733488,0.31671923,0.3020677,-0.7091246,0.43415725,0.18222441,-0.14639187,0.4550485,-0.002719194,0.36496845,0.1243971,-0.44876528,-0.6596596,-0.037447482,0.31204343,0.50197995,0.5471388,0.23729056,-0.2615714,-0.14055304,-0.81713533,1.0991397,0.005355687,-0.09720242,-0.010810342,-0.90565056,0.22635576,0.20536524,-0.17992502,-0.58271897,-0.04815426,0.20533146,-0.5155238,0.09030492,-0.14401418,-1.0787457,0.09523175,-0.022864148,-0.16540003,0.12770112,-0.46912748,-0.079888135,-0.9801857,-0.17534088,0.23655587,0.5841068,0.11778125,-0.4970794,0.07796199,-0.15807196,-0.014578623,0.18533811,-0.15921766,-0.66767627,-0.0923188,-0.111916125,0.031865712,0.08697139,0.5634379,-0.27849725,-0.40456536,0.1365797,0.09886967,-0.18406257,0.62161386,0.09869871,0.12631048,0.15574524,-0.12321419,0.1321016,0.098425664,0.19499597,0.5854749,0.32661128,-0.19767071,-0.7803624,-0.7549209,0.054906018,-0.23530664,0.883406,-0.5334641,-0.024806375,0.12686251,0.10623437,-0.08434862,-0.13618404,-0.16013189,-0.04171858,-0.35514498,-0.05313263,0.3901146,-0.34835598,0.7006218,-0.07572393,-0.27713183,0.26194224,0.22079037,0.8000545,0.8111847,-0.56825083,-0.37170824,0.46453416,-0.1035609,0.21067257,-0.5212295,0.23994784,0.49851656,0.2694677,0.34518787,-0.33811814,0.18534209,-0.811775301]",0
17-02-20201117-005,"[-0.02791956,-0.1445539,-0.23698355,-0.17413531,0.34452805,0.040185127,-0.024852887,-0.0776361,0.08744021,0.15129597,0.11069244,-0.20022792,0.49980882,-0.003873028,-0.03345712,0.36733097,-0.044702392,-0.34207493,-0.07390358,0.16643219,0.19191107,-0.20547089,0.10132165,-0.14364189,-0.04203538,-0.11471353,-0.40027472,-0.25200227,0.1705714,-0.049776208,-0.23113155,0.046491176,-0.23330149,-0.018965974,-0.16951263,0.193974,-0.3171339,0.080355,-0.033923067,-0.06551993,0.14935562,-0.008010792,0.24264413,-0.08867383,-0.09470728,0.09125283,0.2507576,0.042768586,-0.1705694,0.22895612,-0.12336336,-0.23577061,0.24268182,0.007328478,0.06574874,0.36675465,-0.058832496,0.072520815,0.018081645,-0.064438306,0.18680102,-0.06679893,-0.25016665,-0.049238622,0.05351279,-0.04462695,0.37603876,-0.13334931,0.05254182,0.059865776,0.025109109,-0.37650454,0.14110392,0.33495137,0.015216434,-0.18815157,-0.06980144,0.14572752,0.12899445,-0.19050549,0.10178159,0.011731278,0.015012926,0.067874506,-0.33739638,0.038577568,0.21210328,0.26499817,-0.048247464,-0.38290262,-0.11628342,-0.042215984,0.13028684,0.003293822,-0.046841294,-0.032382067,-0.145402,0.10152528,-0.029982237,0.059284173,0.16520523,0.18365093,-0.16202714,0.11208712,-0.027344914,0.1272868,-0.023783194,0.017914388,0.13662617,-0.10117526,-0.009866191,0.10655669,-0.29802454,-0.046759896,-0.14730813,-0.039541956,0.03578834,0.108648196,-0.28462344,0.10003638,-0.14710914,-0.037699595,-0.05496888,-0.14091985,-0.059891146,0.03580079,0.21201354,-0.033326026,-0.811775301]",1
17-02-20201118-006,"[0.21204641,0.02108643,0.50409174,-0.65930665,-0.21932933,-0.07531185,-0.04508564,-0.23612575,-0.20601417,-0.3119479,-0.5285629,0.15871495,0.4146099,0.5727415,0.19073035,-0.09596525,1.024237,0.5839296,0.3855567,0.36828995,-0.73539793,0.31278017,0.25300545,-0.25663292,0.49326554,0.07979942,0.3864103,0.01681847,-0.48390797,-0.77241504,-0.06318487,0.28197134,0.4717011,0.59204113,0.31588668,-0.12047324,-0.16739683,-0.9947466,1.3367448,-0.052315697,0.032697827,-0.033591952,-0.9700397,0.28067553,0.18417504,-0.14215046,-0.67166626,-0.029944416,0.21751772,-0.5995202,0.034967706,-0.21129471,-1.120888,0.15682968,0.14655977,-0.17306072,0.14711249,-0.48362988,-0.06823935,-1.0039545,-0.22128049,0.23543167,0.6318408,0.1660622,-0.4619892,0.07139602,-0.136287,0.053032894,0.25963733,-0.15259536,-0.79822403,-0.061253443,-0.099263966,0.054926287,0.12791237,0.6084347,-0.30128,-0.47029865,0.1445592,9.07E-05,-0.2387465,0.58526856,-0.006969204,0.22958599,0.18916526,0.07209358,0.14528307,0.047297917,0.28531793,0.65973127,0.35419798,-0.11318729,-0.90550596,-0.90746486,0.030657543,-0.20333318,0.9691163,-0.525793,-0.031704854,0.19885099,0.25602508,-0.065993175,-0.19211292,-0.21346709,0.01514846,-0.27359614,-0.089230224,0.3691153,-0.42791107,0.81981665,-0.08134611,-0.3974262,0.28411266,0.17049095,0.85918516,0.8638429,-0.61187905,-0.3668714,0.6041132,-0.039660268,0.1924184,-0.5429943,0.30360845,0.4747854,0.17184092,0.3206659,-0.4044924,0.11948697,0.132270097]",0
17-02-20201119-010,"[0.2951213,0.056752086,0.5131593,-0.7652421,-0.43784785,-0.08598452,8.69E-06,-0.26235968,-0.46321353,-0.57796806,-0.6564686,0.17535585,0.5508382,0.65666527,0.18270347,-0.044647958,1.1514214,0.5102352,0.45731395,0.39274347,-1.05401,0.53328425,0.1754161,-0.09040115,0.8516379,0.072033055,0.4128697,0.07846531,-0.54243195,-1.0743362,-0.08162608,0.29539233,0.682462,0.8300598,0.38283622,-0.2936105,-0.32618392,-1.1113185,1.669512,0.07247375,0.003270455,-0.13064796,-1.1817943,0.18738522,0.33007756,-0.25884435,-0.8995948,0.13835676,0.43340707,-0.766796,0.32906118,-0.18484858,-1.3967212,0.15728678,-0.12467524,-0.20321026,0.22441773,-0.5155008,-0.30554575,-1.2832644,-0.12286806,0.14739501,0.7184891,0.25406367,-0.7978106,0.17192173,0.015065856,0.034801144,0.20736387,-0.20656131,-0.95991105,-0.12063358,-0.22724123,0.23033452,0.09890188,0.96390694,-0.3272672,-0.46569818,0.3422461,-0.06823939,-0.033758678,0.86253333,0.1003947,0.11866407,-0.031315483,-0.10939675,0.33146232,0.24863516,0.36091852,0.79436,0.44202757,-0.25628996,-0.97946125,-1.167368,0.02382592,-0.27576324,1.0679839,-0.50548077,-0.051341966,0.21601711,0.20532404,-0.13028401,-0.14100964,-0.23648904,-0.029130029,-0.34898028,0.09213672,0.45573893,-0.5942686,0.7960242,0.07449877,-0.51660436,0.3352774,0.20980719,1.1885847,1.1267307,-0.93390256,-0.44644094,0.80551845,-0.13498771,0.41336608,-0.67948174,0.343653,0.4391873,0.3342066,0.45187637,-0.44777036,0.10361555,-0.811775301]",0
17-02-20201120-012,"[-0.059683185,-0.08927961,-0.23119797,-0.25511223,0.4064674,-0.001573145,-0.05784341,-0.05362694,0.10099124,0.17466502,0.15607451,-0.31797835,0.60557306,-0.048767306,-0.00418784,0.40872484,-0.06546587,-0.3714926,-0.03017008,0.1885284,0.13751417,-0.2568572,0.056092896,-0.13713053,-0.017990049,-0.22428536,-0.31949955,-0.33433747,0.25996166,-0.09924064,-0.35160786,-0.017404908,-0.16120325,-0.006401618,-0.14778444,0.19693968,-0.42079803,0.022169225,-0.043904964,-0.000786318,0.07021518,0.02550074,0.3122122,-0.17905426,-0.03233936,0.05464102,0.18082285,0.008427625,-0.18084061,0.13947433,-0.17201875,-0.4043515,0.26086217,-0.003683914,-0.006568012,0.4691277,-0.027610362,0.02891639,0.08547479,-0.10648327,0.067501284,-0.14105555,-0.27757457,0.018085143,0.049965985,-0.12982944,0.50606114,-0.18021603,0.05267711,0.06923933,0.04248022,-0.38071835,0.060287483,0.3580797,0.003450763,-0.16434889,-0.113560975,0.24939841,0.07039587,-0.25136217,0.08978483,0.120138735,0.08408769,-0.04688677,-0.23764211,-0.041369382,0.19358875,0.36179662,-0.013141778,-0.42366242,-0.102033526,-0.16984138,0.005727794,-0.021653404,-0.0859403,-0.13242917,-0.08265516,0.29492074,-0.045635715,-0.002893904,0.26314875,0.16400737,-0.17605929,0.13335553,-0.11139165,0.13758482,-0.06175093,-0.050974704,0.2230809,-0.17329296,-0.0315087,0.2085766,-0.31543064,-0.1297304,-0.06540315,-0.041872103,0.1139243,0.10203443,-0.27504432,0.08441617,-0.16176912,-0.23883975,-0.045807287,-0.14076771,-0.1163745,-0.058304947,0.18757972,-0.07273498,2.099031343]",1
17-02-20201120-013,"[0.22025202,0.10844019,0.4975998,-0.39488214,-0.33831608,-0.082971476,-0.029679745,-0.22764365,-0.2125711,-0.3462871,-0.53441846,0.13958381,0.3401064,0.59685755,0.23105851,-0.12805274,1.0903931,0.5462955,0.21567278,0.22660346,-0.8006147,0.4637848,0.23337005,-0.20353542,0.60986346,0.043943882,0.4641901,0.063567996,-0.5021404,-0.86553866,-0.08489989,0.30047223,0.56286323,0.7522563,0.2323243,-0.460874,-0.16656607,-1.0604975,1.3429735,0.027381808,-0.003632978,0.027513627,-1.0587255,0.29504973,0.21642976,-0.24873391,-0.6538177,0.029354712,0.31481797,-0.6408245,0.228389,-0.15304413,-1.2910309,0.06713277,0.039474245,-0.17763542,0.26558045,-0.48235673,-0.040878482,-1.1329259,-0.10338581,0.3441719,0.6456425,0.122734755,-0.65184146,0.120130315,-0.1425913,0.09267692,0.17239258,-0.1640909,-0.8853227,-0.047302283,-0.20165356,-0.04012019,0.18062346,0.7652318,-0.35112917,-0.45712152,0.09939504,0.2460872,-0.21908021,0.6233139,0.1407132,0.19859694,0.18164283,-0.1438295,0.1015949,0.1009066,0.21041405,0.75973374,0.42314002,-0.08305051,-0.9101942,-0.9909711,0.085276686,-0.23281544,1.0649971,-0.5983605,-0.03536827,0.33007616,0.08863822,-0.11023358,0.020387245,-0.27100745,-0.059978753,-0.37463883,-0.077649325,0.37125736,-0.5448653,0.7545241,-0.061608583,-0.44816336,0.3172427,0.31553245,0.9747771,0.97207445,-0.61754125,-0.37702098,0.694274,-0.024799736,0.24814034,-0.59752905,0.34023136,0.547886,0.1393564,0.4160661,-0.3756499,0.14254354,-0.575763952]",0
17-02-20201125-019,"[-0.018446065,-0.09054755,0.057182275,-0.13106495,0.17835999,-0.008872262,-0.001095817,0.003320606,-0.03219694,-0.022018671,-0.020590486,0.013122068,0.22160238,0.13353357,0.095205344,0.14664142,0.15047428,-0.108779766,0.09360762,0.036643945,-0.023269592,-0.020349944,0.11492887,-0.10930775,0.10969091,-0.089231364,0.016014405,-0.10472578,-0.05208424,-0.20727153,-0.07380322,0.09695198,0.0337622,0.17457724,0.00536654,0.023373796,-0.2419489,-0.10658601,0.20247018,0.01873466,0.011477068,0.037863724,-0.027517902,-0.036163613,-0.001417968,-0.05466096,-0.038143605,0.019668456,-0.09172046,-0.052436404,-0.04045567,-0.10656055,-0.09732058,0.01719604,0.09726628,-0.01167099,0.044904083,-0.07249222,0.060347997,-0.25260323,-0.026040247,0.045437127,-0.008742007,0.07671337,0.002372643,-0.056743603,0.08625632,-0.0385419,0.094063036,0.03186688,-0.03407589,-0.15363775,-0.06379523,0.04439498,-0.062031556,0.061995845,-0.050015926,-0.11119068,0.005565978,-0.18191884,-0.094392285,0.116083145,-0.007660692,-0.064521015,0.019014925,-0.11343069,0.11292137,0.094645314,-0.005572927,-0.13013767,-0.026858171,-0.11684259,-0.09418233,-0.17069915,0.056044288,0.014580341,0.15975139,-0.044669583,-0.02725598,0.13810295,0.13812493,-0.011305156,-0.04890927,-0.057823732,-0.06402437,-0.05582592,0.011636506,0.19345123,-0.046911456,0.08648281,-0.04438997,0.012794374,-0.07699931,-0.02498292,0.12943499,0.19465879,-0.007222519,-0.019640585,-0.09745191,-0.03964886,0.02042645,-0.09241421,0.000301888,0.10234665,0.050982866,-0.010584641,0.014059847,-0.04307785,1.312326845]",1
17-02-20201126-021,"[-0.11410482,-0.19104566,-0.43630794,-0.5191982,0.9911478,0.08710166,-0.077113576,-0.13589199,0.38360688,0.19632892,0.2672034,-0.6759764,1.2235107,-0.11012878,-0.124964386,1.0080678,-0.46091908,-0.703932,-0.003617217,0.15027346,0.13523583,-0.4499314,0.2591615,-0.11008644,-0.06316377,-0.3100172,-0.8381521,-0.7512267,0.39698204,0.07143835,-0.537902,0.10825433,-0.4552894,-0.19723831,-0.43525365,0.49512672,-0.7528679,0.20526801,-0.37159187,-0.0987885,-0.007146627,-0.1692569,0.5497575,-0.071283475,0.002734532,0.27014983,0.43488792,0.030873466,-0.0878844,0.36793748,-0.3365464,-0.64840007,0.62483424,0.30054525,-0.12936608,1.2917325,0.02467582,-0.026690392,-0.069715746,-0.18974176,0.38044745,-0.3325465,-0.2393498,0.016911538,0.18618158,-0.076217815,0.8226049,-0.11501678,0.15957978,0.107081756,0.056599718,-0.8293893,0.36710963,0.67580163,0.116122946,-0.2527114,-0.08106181,0.3600238,0.23269174,-0.5376786,0.2788333,0.24181512,0.18123011,-0.18062767,-0.37729427,-0.13190652,0.46820533,0.58503795,0.05058758,-0.7221483,-0.18198657,-0.24782701,0.16111813,0.07983999,-0.36159,0.059986062,-0.24720933,0.7044959,0.010252008,-0.001263497,0.28815818,0.16541131,-0.38421774,0.30776012,-0.19663735,0.09185541,0.21090896,-0.15249252,0.31205785,-0.5875201,0.003560012,0.36964795,-0.7109164,-0.22984225,-0.3596471,-0.44928038,0.23436458,0.112364314,-0.35221618,0.28084585,-0.61754155,-0.21388488,0.13562714,-0.22826098,-0.06332817,0.012304315,0.4393409,-0.05018539,1.548338194]",1
